run_id	completed_at_utc	stage	mode	slot_id	objective_id	status	candidate_ref	incumbent_run_id	manual_version	evaluator_version	research_dataset_id	validation_set_id	universe_id	chain_id	live_truth_source_id	primary_score	incumbent_score	delta_score	guardrail_pass	return_ann_pct	max_drawdown_pct	turnover_ann_pct	costs_total_bps	description	benchmark_id	constituent_count_avg	weight_max_pct	gross_exposure_avg_pct	net_exposure_avg_pct	leverage_avg	borrow_cost_bps	euler_market_set_id	euler_health_min
baseline-onboarding.default_basket-20260401T110018689z-basket-baseline-v1	2026-04-01T11:00:18.689Z	baseline	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	keep	basket-baseline:onboarding.default_basket:mag7:v1		strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	1.00688	1.00688	0	true	21.3833	8.0469	3.4414	12.1136	basket_policy_profile;profile_id=baseline;candidate_family_id=slot_baseline;candidate_family_class=baseline;anchor_basket=mag7;selection_universe=starter_only;top_n=7;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	7	17.725						
baseline-onboarding.alt_basket_1-20260401T110018697z-basket-baseline-v1	2026-04-01T11:00:18.697Z	baseline	basket	onboarding.alt_basket_1	basket_excess_calmar_after_cost_v1	keep	basket-baseline:onboarding.alt_basket_1:ai_infra:v1		strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	0.794121	0.794121	0	true	23.6932	13.2641	0	0	basket_policy_profile;profile_id=baseline;candidate_family_id=slot_baseline;candidate_family_class=baseline;anchor_basket=ai_infra;selection_universe=starter_only;top_n=5;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=22;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=8;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=325	basket.sp500_core_v1	5	21.7593						
baseline-onboarding.alt_basket_2-20260401T110018699z-basket-baseline-v1	2026-04-01T11:00:18.699Z	baseline	basket	onboarding.alt_basket_2	basket_excess_calmar_after_cost_v1	keep	basket-baseline:onboarding.alt_basket_2:us_tech_leaders:v1		strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	1.362635	1.362635	0	true	23.046	7.1669	3.1838	12.0234	basket_policy_profile;profile_id=baseline;candidate_family_id=slot_baseline;candidate_family_class=baseline;anchor_basket=us_tech_leaders;selection_universe=starter_only;top_n=7;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=17;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=4;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=275	basket.sp500_core_v1	7	17						
challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	2026-04-01T11:00:18.704Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	keep	basket-challenger:onboarding.default_basket:starter-h6-p100-c5-cap18-a0-r300:v1	baseline-onboarding.default_basket-20260401T110018689z-basket-baseline-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	1.405954	1.00688	0.399074	true	23.5436	7.2997	3.3046	12.0657	basket_policy_profile;profile_id=trim_holdings;candidate_family_id=starter_breadth_trim;candidate_family_class=starter_reshaping;anchor_basket=mag7;selection_universe=starter_only;top_n=6;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	6	18						
challenger_running-onboarding.default_basket-20260401T110018706z-basket-starter-h7-p140-c5-cap18-a0-r300-v1	2026-04-01T11:00:18.706Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	discard	basket-challenger:onboarding.default_basket:starter-h7-p140-c5-cap18-a0-r300:v1	challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	1.080088	1.405954	-0.325866	true	21.8624	7.9451	3.4282	12.109	basket_policy_profile;profile_id=higher_conviction;candidate_family_id=starter_conviction_up;candidate_family_class=starter_reshaping;anchor_basket=mag7;selection_universe=starter_only;top_n=7;starter_bias_pct=0;weighting_curve=signal_score_power;weight_exponent=1.4;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	7	18						
challenger_running-onboarding.default_basket-20260401T110018707z-basket-starter-h7-p100-c2-cap18-a0-r300-v1	2026-04-01T11:00:18.707Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	discard	basket-challenger:onboarding.default_basket:starter-h7-p100-c2-cap18-a0-r300:v1	challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	1.058322	1.405954	-0.347632	true	22.0231	8.2605	3.3831	12.0932	basket_policy_profile;profile_id=lighter_cash;candidate_family_id=starter_low_cash;candidate_family_class=starter_capital_mix;anchor_basket=mag7;selection_universe=starter_only;top_n=7;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=2;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	7	18						
challenger_running-onboarding.default_basket-20260401T110018708z-basket-starter-h7-p100-c5-cap16-a0-r300-v1	2026-04-01T11:00:18.708Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	discard	basket-challenger:onboarding.default_basket:starter-h7-p100-c5-cap16-a0-r300:v1	challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	0.950004	1.405954	-0.45595	true	21.0714	8.1998	3.5895	12.1654	basket_policy_profile;profile_id=tighter_cap;candidate_family_id=starter_tighter_cap;candidate_family_class=starter_risk_controls;anchor_basket=mag7;selection_universe=starter_only;top_n=7;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=16;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	7	16						
challenger_running-onboarding.default_basket-20260401T110018709z-basket-core-h7-p100-c5-cap18-a0-r300-v1	2026-04-01T11:00:18.709Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	discard	basket-challenger:onboarding.default_basket:core-h7-p100-c5-cap18-a0-r300:v1	challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	0.956773	1.405954	-0.449181	true	23.8838	11.2084	0	0	basket_policy_profile;profile_id=broader_core;candidate_family_id=core_entry;candidate_family_class=core_universe_expansion;anchor_basket=mag7;selection_universe=core_universe;top_n=7;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	7	16.0444						
challenger_running-onboarding.default_basket-20260401T110018711z-basket-core-h7-p100-c5-cap18-a12-r300-v1	2026-04-01T11:00:18.711Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	discard	basket-challenger:onboarding.default_basket:core-h7-p100-c5-cap18-a12-r300:v1	challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	0.986319	1.405954	-0.419635	true	24.017	11.0077	0	0	basket_policy_profile;profile_id=broader_core_anchor_bias;candidate_family_id=core_entry_anchored;candidate_family_class=core_universe_expansion;anchor_basket=mag7;selection_universe=core_universe;top_n=7;starter_bias_pct=12;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	7	16.5705						
challenger_running-onboarding.default_basket-20260401T110018712z-basket-core-h6-p100-c5-cap18-a0-r300-v1	2026-04-01T11:00:18.712Z	challenger_running	basket	onboarding.default_basket	basket_excess_calmar_after_cost_v1	discard	basket-challenger:onboarding.default_basket:core-h6-p100-c5-cap18-a0-r300:v1	challenger_running-onboarding.default_basket-20260401T110018704z-basket-starter-h6-p100-c5-cap18-a0-r300-v1	strategy_lab_program_v1	strategy_lab_evaluator_v1	research_bundle_v2	validation.monthly.2025_full_year_stress_v2	xstocks.ethereum.mainnet.core-v1	1	xstocks_public_api_v1	0.913046	1.405954	-0.492908	true	24.2525	12.149	0	0	basket_policy_profile;profile_id=broader_core_focused;candidate_family_id=core_focus;candidate_family_class=core_universe_expansion;anchor_basket=mag7;selection_universe=core_universe;top_n=6;starter_bias_pct=0;weighting_curve=signal_score_proportional;weight_exponent=1;cap_policy=single_name_max_weight_pct;max_weight_pct=18;cap_redistribution=redistribute_proportionally_to_uncapped_names;cash_sleeve=static_target_weight;cash_asset=AUSD;cash_weight_pct=5;rebalance_policy=absolute_drift_threshold_bps;rebalance_threshold_bps=300	basket.sp500_core_v1	6	18						
